ID	TEXT	Ebene2	MEDIA	MARKT	lang	TEXT_cleaned	Length	Category
00021aCUFWT9AX5H	Hallo ich moechte mir eigentlich morgen die neue Apple Watch mit LTE kaufen Doch leider funktioniert dies ja nur mit Telekom Wie realistisch ist es dass in naher Zukunft die esim auch von euch genutzt werde kann Ansonsten kannn ich mit  sparen wenn sich da in den naechsten Jahren nichts aendert oder ich muss den Anbieter wechseln Danke Gruss Sascha	Unknown	facebooksession	Unknown	de	moechte eigentlich morgen neu apple watch Lte kaufen leider funktionieren ja Telekom realistisch dass nah Zukunft esim nutzen Ansonsten kannn sparen naechsten Jahren aendert muessen Anbieter wechseln sascha	28	3
00021aCUFWT9CD5P	Hallo Vodafone ich habe eine Frage bezueglich esim und der neuen Apple Watch Das ihr die neue Watch nicht im Programm habt ist mir bekannt Meine Frage ist wenn ich mir die Watch mit LTE selber kaufe kann ich dann von euch eine eSim Nummer bekommen Sodass ich die LTE Funktion auch nutzen kann Auf eurer Info Seite steht das ihr sowas auch anbietet Gruss Max Hallo	Unknown	facebooksession	Unknown	de	Frage bezueglich esim neu apple watch neu Watch Programm habt bekennen Frage Watch Lte selb kaufen esim Nummer bekommen Sodass Lte Funktion auchen nutzen Info Seite stehen sowas anbieten max	30	3
00021aCUFWT9H4F5	Guten Morgen Ich wollte grade meinen Vertrag mit dem neuen IPhone verlaengern jedoch kann ich maximal das iPhone auswaehlen Ab wann kann ich das iPhone auswaehlen Viele Gruesse	Unknown	facebooksession	Unknown	de	grade Vertrag neu Iphone verlaengern jedochen maximal iphone auswaehlen ab wann iphone auswaehlen	13	3
00021aCUFWT9HKPP	Guten Morgen liebes VF Team ueber kann man schon mit dem iPhone verlaengern Mein Vertrag ist FamilyFriends berechtigt in der App werde ich daher auf eine extra Seite zur Verlaengerung weitergeleitet Hier taucht das iPhone noch nicht auf Ab wann kann ich es dort auswaehlen Vielen Dank und liebe Gruesse	Unknown	facebooksession	Unknown	de	lieb Team uebern schon iphone verlaengern vertrag familyfriends berechtigt App daher extra Seite Verlaengerung weiterleiten taucht iphone ab wann auswaehlen	20	3
00021aCUFWT9J960	Hallo liebes Vodafone Team nachdem nun das iphone draussen ist wuerde ich gerne meinen Vertrag mit einem goldenen GB iPhone verlaengern Wichtig waere mir ein guter Preis da ich aktuell ja einen super Vertrag bei euch habe iphone inkl Vertrag fuer  monatlich Ich brauche mind GB Datenvolumen und mind Freiminuten Alles andere ist egal  ich hoffe ihr koennt mir als jahre langer treuer Vodafone Stammkunde ein gutes Angebot schustern  Liebe Gruesse Caecilia VF Rufnummer	Unknown	facebooksession	Unknown	de	lieb nachdem iphone draussen wuerde Vertrag golden GB iphone verlaengern wichtig waere gut Preis aktuell ja sup Vertrag iphone inkl Vertrag fuer monatlich brauche mind GB Datenvolumen mind Freiminuten egal hoffen koennt jahre lang treuer Stammkunde gutes Angebot schustern Caecilia Rufnummer	41	3
00021aCUFWT9KV3F	Hallo Meine Vertragsverlaengerung steht an Im Vodafone Shop sagte man mir ich soll mich zwecks Verlaengerung an euch wenden da sonst eventuell meine Rabatte entfallen koennten Meine letzte Vertragsverlaengerung lief auch ueber euch Waere nett wenn ihr euch das mal anschauen koenntet und mir Angebote machen koenntet Interessant waere das iPhone mit gb in spacegrau LG Dennis von Sack Am Hagelsrech Ensdorf Hallo Noch eine kurze Anmerkung Am liebsten waere mir ein Angebot mit red M und dem iPhone	Unknown	facebooksession	Unknown	de	Vertragsverlaengerung stehen Shop sagen sollen zwecks Verlaengerung wenden eventuell Rabatte entfallen koennten letzt Vertragsverlaengerung laufen ueber Waere nett mal anschauen koenntet Angebote koenntet Interessant waere iphone GB spacegrau dennis Sack Hagelsrech Ensdorf nochen kurz Anmerkung liebsten waere Angebot RedM iphone	40	3
00021aCUFWT9MXPN	Moin Moin Wann koennt ihr die Apple Watch freischalten	Unknown	facebooksession	Unknown	de	wann koennt apple watch freischelten	5	3
00021aCUFWT9N35P	image Message has attachments Link image Message has attachments Link Hi Letzte Woche Freitag wurde ich von einer Kollegin von euch angerufen Mit ihr hatte letzte Woche telefonisch die Vertragsverlaengerung gemacht Sie sagte auch das es bis Ende dieser Woche auch alles geregelt ist mit den vertragsunterlagen usw Bisher hab ich nur die Red Karte incl iPad mini bekommen und den Teil hierzu auch unterschrieben Dachte die Umstellung wuerde solange dauern bis alles von mir unterzeichnet zurueckgeschickt wurde Bisher sind wie gesagt nur die red unterlagen gekommen und von mir unterzeichnet zurueckgeschickt bzw vom naechsten DHL Express Standort Die vertragsunterlagen zur Vertragsverlaengerung sollten mir eigentlich vorab per Email zugeschickt werden Diese kamen auch niemals an Nicht mal in meinem Spam Ordner Und nun bin ich trotz der Zusage zur Verlaengerung und SMS Bestaetigung nach Jahren wieder Callya Kunde  Irgendwas laeuft da falsch Anbei noch ein Screenshot von der SMS Ich gedenke mich noch entsprechend bei der zustaendigen Stelle zu beschweren Hi Letzte Woche Freitag wurde ich von einer Kollegin von euch angerufen Mit ihr hatte letzte Woche telefonisch die Vertragsverlaengerung gemacht Sie sagte auch das es bis Ende dieser Woche auch alles geregelt ist mit den vertragsunterlagen usw Bisher hab ich nur die Red Karte incl iPad mini bekommen und den Teil hierzu auch unterschrieben Dachte die Umstellung wuerde solange dauern bis alles von mir unterzeichnet zurueckgeschickt wurde Bisher sind wie gesagt nur die red unterlagen gekommen und von mir unterzeichnet zurueckgeschickt bzw vom naechsten DHL Express Standort Die vertragsunterlagen zur Vertragsverlaengerung sollten mir eigentlich vorab per Email zugeschickt werden Diese kamen auch niemals an Nicht mal in meinem Spam Ordner Und nun bin ich trotz der Zusage zur Verlaengerung und SMS Bestaetigung nach Jahren wieder Callya Kunde  Irgendwas laeuft da falsch Anbei noch ein Screenshot von der SMS Ich gedenke mich noch entsprechend bei der zustaendigen Stelle zu beschweren	Unknown	facebooksession	Mobile Credit	de	imag image Letzte Woche Freitag Kollegin angerufen letzt Woche telefonisch Vertragsverlaengerung sagte Ende Woche regeln vertragsunterlagen usw Bisher RedTarif Karte incl ipad mini bekommen Teil hierzu unterschrieben Dachte Umstellung wuerde solange dauern unterzeichnet zurueckgeschickt Bisher gesagt RedTarif unterlagen kommen unterzeichnet zurueckgeschickt bzw naechsten Dhl Express Standort vertragsunterlagen Vertragsverlaengerung sollten eigentlich vorab per Email zugeschickt kommen niemals mal Spam Ordner trotz Zusage Verlaengerung sms bestaetigung nhren CallYa Kunde Irgendwas laeuft falsch Anbei Screenshot sms gedenke entsprechend zustaendigen Stelle beschweren Letzte Woche Freitag Kollegin angerufen letzt Woche telefonisch Vertragsverlaengerung sagte Ende Woche regeln vertragsunterlagen usw Bisher RedTarif Karte incl ipad mini bekommen Teil hierzu unterschrieben Dachte Umstellung wuerde solange dauern unterzeichnet zurueckgeschickt Bisher gesagt RedTarif unterlagen kommen unterzeichnet zurueckgeschickt bzw naechsten Dhl Express Standort vertragsunterlagen Vertragsverlaengerung sollten eigentlich vorab per Email zugeschickt kommen niemals mal Spam Ordner trotz Zusage Verlaengerung sms bestaetigung nhren CallYa Kunde Irgendwas laeuft falsch Anbei Screenshot sms gedenke entsprechend zustaendigen Stelle beschweren	154	3
00021aCUFWT9SHQ0	Hallo Team vodafon Ich moechte gern ein weisses i Phone Natuerlich gern auch oder plus Meine Gb liegt jetzt bei da komm ich auch mit zu recht Mein Vertrag hat die monatlichen Kosten von Ich wuerde gern etwas sparen Vielleicht mit einem Smart Tarif Ich wuerde mich ueber ein telefonische Angebot freuen Da mein Vertrag ja zum gekuendigt ist Meine Nummer	Unknown	facebooksession	Unknown	de	Team vodafon moechte weisses Phone natuerlich plus GB liegen komm rechen Vertrag monatlich Kosten wuerde sparen vielleicht Smart Tarif wuerde ueber telefonisch Angebot freuen Vertrag ja kuendigen Nummer	28	3
00021aCUFWT9X5KV	Ja das hat bereits super geklappt Danke nochmal	Unknown	facebooksession	Mobile Credit	de	ja bereits sup klappen nochmal	5	3
